distance_m,width_px,height_px,detected_count,detected_ids,source_case_id,source_image,annotated_image,full_res_count_at_same_distance,recovery_rate_vs_full_res,detection_rate_vs_all_36
0.45,960,720,8,13 14 15 16 19 20 21 22,render_001_distance_0p45m,render_001_distance_0p45m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p45m_w960px.png,8,1.0,0.2222222222222222
0.45,400,300,8,13 14 15 16 19 20 21 22,render_001_distance_0p45m,render_001_distance_0p45m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p45m_w400px.png,8,1.0,0.2222222222222222
0.45,300,225,8,13 14 15 16 19 20 21 22,render_001_distance_0p45m,render_001_distance_0p45m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p45m_w300px.png,8,1.0,0.2222222222222222
0.45,200,150,6,14 15 16 20 21 22,render_001_distance_0p45m,render_001_distance_0p45m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p45m_w200px.png,8,0.75,0.16666666666666666
0.45,150,112,8,13 14 15 16 19 20 21 22,render_001_distance_0p45m,render_001_distance_0p45m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p45m_w150px.png,8,1.0,0.2222222222222222
0.45,100,75,0,,render_001_distance_0p45m,render_001_distance_0p45m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p45m_w100px.png,8,0.0,0.0
0.6,960,720,24,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,render_002_distance_0p60m,render_002_distance_0p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p60m_w960px.png,24,1.0,0.6666666666666666
0.6,400,300,24,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,render_002_distance_0p60m,render_002_distance_0p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p60m_w400px.png,24,1.0,0.6666666666666666
0.6,300,225,24,6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29,render_002_distance_0p60m,render_002_distance_0p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p60m_w300px.png,24,1.0,0.6666666666666666
0.6,200,150,20,7 8 9 10 11 13 14 15 16 17 19 20 21 22 23 25 26 27 28 29,render_002_distance_0p60m,render_002_distance_0p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p60m_w200px.png,24,0.8333333333333334,0.5555555555555556
0.6,150,112,1,19,render_002_distance_0p60m,render_002_distance_0p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p60m_w150px.png,24,0.041666666666666664,0.027777777777777776
0.6,100,75,0,,render_002_distance_0p60m,render_002_distance_0p60m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p60m_w100px.png,24,0.0,0.0
0.8,960,720,36,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,render_003_distance_0p80m,render_003_distance_0p80m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p80m_w960px.png,36,1.0,1.0
0.8,400,300,36,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,render_003_distance_0p80m,render_003_distance_0p80m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p80m_w400px.png,36,1.0,1.0
0.8,300,225,18,5 7 8 11 12 13 14 16 17 18 19 20 22 23 26 29 30 32,render_003_distance_0p80m,render_003_distance_0p80m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p80m_w300px.png,36,0.5,0.5
0.8,200,150,16,0 1 4 5 6 7 9 11 19 24 25 29 30 31 34 35,render_003_distance_0p80m,render_003_distance_0p80m.png,C:\Users\jjbla\OneDrive\Desktop\Masterproject\aprilgrid_blender\degradation_matrix\distance_resolution\annotated\d0p80m_w200px.png,36,0.4444444444444444,0.4444444444444444
